NC_005248	NC_005248.1	NC_005248.1	Escherichia coli plasmid pIGAL1, complete sequence
NG_047991	NG_047991.1	NG_047991.1	Staphylococcus aureus 01A1032 pSR1 mph(C) gene for Mph(C) family macrolide 2'-phosphotransferase, complete CDS
NG_047997	NG_047997.1	NG_047997.1	uncultured bacterium pRSB111 mph(F) gene for Mph(F) family macrolide 2'-phosphotransferase, complete CDS
NG_048036	NG_048036.1	NG_048036.1	uncultured bacterium pB8 qac gene for Qac-pB8 family quaternary ammonium compound efflux SMR transporter, complete CDS
NG_048156	NG_048156.1	NG_048156.1	uncultured bacterium pRSB101 tet(A) gene for tetracycline efflux MFS transporter Tet(A), complete CDS
NG_048162	NG_048162.1	NG_048162.1	[Pasteurella] aerogenes pPAT2 tet(B) gene for tetracycline efflux MFS transporter Tet(B), complete CDS
NG_048196	NG_048196.1	NG_048196.1	[Pasteurella] aerogenes pPAT1 tet(H) gene for tetracycline efflux MFS transporter Tet(H), complete CDS
NG_048562	NG_048562.1	NG_048562.1	Plasmid pIP630 vgb(A) gene for streptogramin B lyase Vgb(A), complete CDS
NG_050145	NG_050145.1	NG_050145.1	Escherichia coli pC15-1a blaTEM gene for class A broad-spectrum beta-lactamase TEM-1, complete CDS
NG_050148	NG_050148.1	NG_050148.1	Plasmid pWW100 blaTEM gene for class A extended-spectrum beta-lactamase TEM-102, complete CDS
NG_050212	NG_050212.1	NG_050212.1	Escherichia coli U184 pUE184 blaTEM gene for class A extended-spectrum beta-lactamase TEM-169, complete CDS
NG_050218	NG_050218.1	NG_050218.1	Escherichia sp. Sflu5 pAK51 blaTEM gene for class A beta-lactamase TEM-181, complete CDS
NG_050948	NG_050948.1	NG_050948.1	Klebsiella pneumoniae 6234 p6234-178.193kb catB gene for type B-2 chloramphenicol O-acetyltransferase CatB11, complete CDS
NG_051170	NG_051170.1	NG_051170.1	Klebsiella pneumoniae KP-6884 unnamed5 mcr-1 gene for phosphoethanolamine--lipid A transferase MCR-1.2, complete CDS
NG_051319	NG_051319.1	NG_051319.1	Vibrio parahaemolyticus VPS72 pVPS72-VEB blaVEB gene for class A extended-spectrum beta-lactamase VEB-18, complete CDS
NG_047245	NG_047245.1	NG_047245.1	Plasmid pWP113a aac(3)-IIa gene for aminoglycoside N-acetyltransferase AAC(3)-IIa, complete CDS
NG_047432	NG_047432.1	NG_047432.1	Plasmid pFA6 aph(3')-Ia gene for aminoglycoside O-phosphotransferase APH(3')-Ia, complete CDS
NG_047597	NG_047597.1	NG_047597.1	Plasmid R387 catA3 gene for type A-3 chloramphenicol O-acetyltransferase CatIII, complete CDS
NG_049126	NG_049126.1	NG_049126.1	Pseudomonas aeruginosa E215 unnamed blaGES gene for class A extended-spectrum beta-lactamase GES-23, complete CDS
NG_049266	NG_049266.1	NG_049266.1	Salmonella enterica subsp. enterica serovar Senftenberg SENF pSENF blaLAT gene for CMY-2 family cephalosporin-hydrolyzing class C beta-lactamase LAT-3, complete CDS
NG_051167	NG_051167.1	NG_051167.1	Klebsiella pneumoniae JMI#21 unnamed blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-25, complete CDS
NG_048181	NG_048181.1	NG_048181.1	Escherichia coli SE11 pSE11-1 tet(C) gene for tetracycline efflux MFS transporter Tet(C), complete CDS
NG_049015	NG_049015.1	NG_049015.1	Shigella sonnei UIH-1 pfmcSS blaCTX-M gene for class A extended-spectrum beta-lactamase CTX-M-64, complete CDS
NG_051436	NG_051436.1	NG_051436.1	Klebsiella pneumoniae pCC416 cmlA5 gene for chloramphenicol efflux MFS transporter CmlA5, complete CDS
NG_051437	NG_051437.1	NG_051437.1	Corynebacterium striatum M82B pTP10 tetA gene for tetracycline efflux ABC transporter TetAB subunit A, complete CDS
NG_051497	NG_051497.1	NG_051497.1	Escherichia coli YD786 pYD786-2 fosA gene for fosfomycin resistance glutathione transferase FosA6, complete CDS
NG_047532	NG_047532.1	NG_047532.1	Staphylococcus haemolyticus 288/96 pNVH96 blaZ gene for penicillin-hydrolyzing class A beta-lactamase BlaZ, complete CDS
NG_047533	NG_047533.1	NG_047533.1	Staphylococcus aureus subsp. aureus N315 pN315 blaZ gene for penicillin-hydrolyzing class A beta-lactamase BlaZ, complete CDS
NG_047534	NG_047534.1	NG_047534.1	Staphylococcus aureus pMW2 blaZ gene for penicillin-hydrolyzing class A beta-lactamase BlaZ, complete CDS
NG_047551	NG_047551.1	NG_047551.1	Staphylococcus aureus pUB102 blaZ gene for penicillin-hydrolyzing class A beta-lactamase BlaZ, complete CDS
NG_047663	NG_047663.1	NG_047663.1	Corynebacterium glutamicum 1014 pXZ10145.1 cmx gene for chloramphenicol efflux MFS transporter Cmx, complete CDS
NG_047664	NG_047664.1	NG_047664.1	Corynebacterium striatum M82B pTP10 cmx gene for chloramphenicol efflux MFS transporter Cmx, complete CDS
NG_047665	NG_047665.1	NG_047665.1	Corynebacterium jeikeium A501 pA501 cmx gene for chloramphenicol efflux MFS transporter Cmx, complete CDS
NG_048467	NG_048467.1	NG_048467.1	Enterococcus faecalis BM4382 pIP834 vanW gene for glycopeptide resistance accessory protein VanW-B, complete CDS
NG_048472	NG_048472.1	NG_048472.1	Enterococcus faecalis pMG2200 vanW gene for glycopeptide resistance accessory protein VanW-B, complete CDS
NG_051704	NG_051704.1	NG_051704.1	Photobacterium damselae subsp. piscicida PT99-018 pP99-018 catA1 gene for type A-1 chloramphenicol O-acetyltransferase, complete CDS
NG_051881	NG_051881.1	NG_051881.1	[Enterobacter] aerogenes BM2688-I pIP833 qacF gene for quaternary ammonium compound efflux SMR transporter QacF, complete CDS
NG_051911	NG_051911.1	NG_051911.1	Citrobacter freundii B38 pOZ172 qacG2 gene for quaternary ammonium compound efflux SMR transporter QacG2, complete CDS
NC_032098	NC_032098.1	NC_032098.1	Enterobacter cloacae strain EC4365 plasmid pEC4365, complete sequence
NG_051846	NG_051846.1	NG_051846.1	Klebsiella pneumoniae pY2 aadA2 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2, complete CDS
NG_051873	NG_051873.1	NG_051873.1	uncultured bacterium pKJK5 aadA11 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA11, complete CDS
NG_051908	NG_051908.1	NG_051908.1	Klebsiella oxytoca CAV1099 pCAV1099-69 aphA16 gene for APH(3') family aminoglycoside O-phosphotransferase AphA16, complete CDS
NG_051938	NG_051938.1	NG_051938.1	Staphylococcus aureus pAFS11 apmA gene for aminocyclitol acetyltransferase ApmA, complete CDS
NG_051844	NG_051844.1	NG_051844.1	Pseudomonas aeruginosa pDG-1 aac(6')-Ib gene for aminoglycoside N-acetyltransferase AAC(6')-Ib4, complete CDS
NG_052059	NG_052059.1	NG_052059.1	uncultured bacterium pEMB2 aac(6')-Ib gene for AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase, complete CDS
NG_052082	NG_052082.1	NG_052082.1	Staphylococcus saprophyticus ST2H6 pST2H6 qacH gene for quaternary ammonium compound efflux SMR transporter QacH, complete CDS
NG_052086	NG_052086.1	NG_052086.1	Escherichia coli Ecol_448 pEC448_OXA163 aac(6')-Ib-cr gene for fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr7, complete CDS
NG_052141	NG_052141.1	NG_052141.1	Escherichia coli K983533 pYMG-8 dfrA12 gene for trimethoprim-resistant dihydrofolate reductase DfrA12, complete CDS
NG_052145	NG_052145.1	NG_052145.1	uncultured bacterium pHH3414 aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_052227	NG_052227.1	NG_052227.1	Salmonella enterica subsp. enterica serovar Typhimurium incFI aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_052247	NG_052247.1	NG_052247.1	Salmonella enterica subsp. enterica serovar Typhimurium pS06 aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_052250	NG_052250.1	NG_052250.1	uncultured bacterium unnamed aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_052252	NG_052252.1	NG_052252.1	uncultured bacterium pSm47 aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_052253	NG_052253.1	NG_052253.1	uncultured bacterium pSp14 aadA5 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5, complete CDS
NG_052254	NG_052254.1	NG_052254.1	Escherichia coli TUM11259 IncN aac(6') gene for aminoglycoside 6'-N-acetyltransferase, complete CDS
NG_052269	NG_052269.1	NG_052269.1	Escherichia coli rl0281 pVP2810 aadA2 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2, complete CDS
NG_052270	NG_052270.1	NG_052270.1	Acinetobacter pittii 3/TCVGH/19991022 unnamed aph(3')-XV gene for aminoglycoside O-phosphotransferase APH(3')-XV, complete CDS
NG_052271	NG_052271.1	NG_052271.1	Acinetobacter pittii 3/TCVGH/19991022 unnamed aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_052288	NG_052288.1	NG_052288.1	uncultured bacterium pRSB223 qacG2 gene for quaternary ammonium compound efflux SMR transporter QacG2, complete CDS
NG_052314	NG_052314.1	NG_052314.1	uncultured bacterium pSp7 aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_052317	NG_052317.1	NG_052317.1	Pasteurella multocida pJR2 aadA25 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25, complete CDS
NG_052324	NG_052324.1	NG_052324.1	uncultured bacterium pB3 aadA2 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2, complete CDS
NG_052417	NG_052417.1	NG_052417.1	Serratia marcescens A4Y426 pG5A4Y426 qacF gene for quaternary ammonium compound efflux SMR transporter QacF, complete CDS
NG_052436	NG_052436.1	NG_052436.1	uncultured bacterium pB8 aadA5 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA5, complete CDS
NG_052486	NG_052486.1	NG_052486.1	Salmonella enterica subsp. enterica serovar Virchow 1639SA00 unnamed aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_052487	NG_052487.1	NG_052487.1	Salmonella enterica subsp. enterica serovar Typhimurium 04-9275 unnamed aadA2 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA2, complete CDS
NG_052538	NG_052538.1	NG_052538.1	Salmonella enterica subsp. enterica serovar Newport str. SL254 pSN254 aadA25 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA25, complete CDS
NG_047231	NG_047231.1	NG_047231.1	Enterobacter cloacae pEC-IMP aac(3)-II gene for AAC(3)-II family aminoglycoside N-acetyltransferase, complete CDS
NG_047275	NG_047275.1	NG_047275.1	Escherichia coli MG-1 R751 aac(6')-Ia gene for aminoglycoside 6'-N-acetyltransferase AAC(6')-Ia, complete CDS
NG_047292	NG_047292.1	NG_047292.1	Escherichia coli 1387 pHS1387 aac(6')-Ib-cr gene for fluoroquinolone-acetylating aminoglycoside 6'-N-acetyltransferase AAC(6')-Ib-cr6, complete CDS
NG_047308	NG_047308.1	NG_047308.1	Klebsiella pneumoniae K1 pLQ1000 aac(6')-Iq gene for aminoglycoside 6'-N-acetyltransferase AAC(6')-Iq, complete CDS
NG_047321	NG_047321.1	NG_047321.1	Klebsiella pneumoniae LT12 pLT12 aacA43 gene for AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA43, complete CDS
NG_047373	NG_047373.1	NG_047373.1	Staphylococcus aureus pUB110 aadD1 gene for aminoglycoside O-nucleotidyltransferase ANT(4')-Ia, complete CDS
NG_047375	NG_047375.1	NG_047375.1	Staphylococcus aureus HUC19 pUB110 aadD1 gene for aminoglycoside O-nucleotidyltransferase ANT(4')-Ia, complete CDS
NG_047376	NG_047376.1	NG_047376.1	Plasmid pUB110 aadD1 gene for aminoglycoside O-nucleotidyltransferase ANT(4')-Ia, complete CDS
NG_047559	NG_047559.1	NG_047559.1	Escherichia coli ABC85 pABC85 ble gene for bleomycin binding protein Ble-MBL, complete CDS
NG_047770	NG_047770.1	NG_047770.1	Klebsiella pneumoniae pKpANDM-1 ere(A) gene for EreA family erythromycin esterase, complete CDS
NG_047842	NG_047842.1	NG_047842.1	Lactobacillus reuteri N16 pTE15 erm(B) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(B), complete CDS
NG_048042	NG_048042.1	NG_048042.1	Pseudomonas aeruginosa pVS1 qacE gene for quaternary ammonium compound efflux SMR transporter QacE delta 1, complete CDS
NG_048062	NG_048062.1	NG_048062.1	Klebsiella pneumoniae BM4686 pIP849 rmtF gene for 16S rRNA (guanine(1405)-N(7))-methyltransferase RmtF1, complete CDS
NG_048307	NG_048307.1	NG_048307.1	uncultured bacterium HH1107 pHH1107 tet(X) gene for tetracycline-inactivating monooxygenase Tet(X), complete CDS
NG_048308	NG_048308.1	NG_048308.1	Riemerella anatipestifer 0511 pRA0511 tet(X) gene for tetracycline-inactivating monooxygenase Tet(X), complete CDS
NG_050583	NG_050583.1	NG_050583.1	Novosphingobium aromaticivorans DSM 12444 pNL2 estDL136 gene for chloramphenicol hydrolase, complete CDS
NG_051697	NG_051697.1	NG_051697.1	Escherichia coli pSa aac(6')-Ib gene for AAC(6')-Ib family aminoglycoside 6'-N-acetyltransferase, complete CDS
NG_052030	NG_052030.1	NG_052030.1	Klebsiella pneumoniae subsp. pneumoniae KPNIH30 pKPN-b9c aadA1 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1, complete CDS
NG_052648	NG_052648.1	NG_052648.1	Escherichia coli CNR1271 unnamed blaCMY gene for class C beta-lactamase CMY-146, complete CDS
NG_050504	NG_050504.2	NG_050504.2	Citrobacter freundii S08-US18 pS08-US18 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB41, complete CDS
NG_052861	NG_052861.1	NG_052861.1	Escherichia coli HeN867 pHeNE867 mcr-1 gene for phosphoethanolamine--lipid A transferase MCR-1.3, complete CDS
NG_052862	NG_052862.1	NG_052862.1	Klebsiella pneumoniae KPC-079 unnamed blaKPC gene for carbapenem-hydrolyzing class A beta-lactamase KPC-27, complete CDS
NG_052893	NG_052893.1	NG_052893.1	Salmonella enterica subsp. enterica serovar Typhimurium YL14P053 pMCR16_P053 mcr-1 gene for phosphoethanolamine--lipid A transferase MCR-1.6, complete CDS
NZ_CP013938	NZ_CP013938.1	NZ_CP013938.1	Weissella cibaria strain CMU plasmid unnamed2, complete sequence
NZ_CP020583	NZ_CP020583.1	NZ_CP020583.1	Acinetobacter baumannii strain JBA13 plasmid pJBA13_2, complete sequence
NG_054661	NG_054661.1	NG_054661.1	Staphylococcus aureus SA0406 pHSSA0406 fosB gene for fosfomycin resistance bacillithiol transferase FosB4, complete CDS
NG_054662	NG_054662.1	NG_054662.1	Staphylococcus aureus SA1278 pHSSA1278 fosB gene for fosfomycin resistance bacillithiol transferase FosB6, complete CDS
NG_054663	NG_054663.1	NG_054663.1	Staphylococcus aureus SA1280 pHSSA1280 fosB gene for fosfomycin resistance bacillithiol transferase FosB5, complete CDS
NG_054676	NG_054676.1	NG_054676.1	Escherichia coli NR336 pNR336 blaIMP gene for subclass B1 metallo-beta-lactamase IMP-66, complete CDS
NG_054677	NG_054677.1	NG_054677.1	Klebsiella pneumoniae Q1130 pKp1130 qnrE gene for quinolone resistance pentapeptide repeat protein QnrE1, complete CDS
NG_054695	NG_054695.1	NG_054695.1	Enterobacter cloacae N13-1531 pIMI-5 blaIMI gene for carbapenem-hydrolyzing class A beta-lactamase IMI-5, complete CDS
NG_054962	NG_054962.1	NG_054962.1	Staphylococcus xylosus JW2311 pJW2311 erm(48) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(48), complete CDS
NZ_CP021993	NZ_CP021993.1	NZ_CP021993.1	Cryobacterium sp. LW097 plasmid unnamed2 sequence
NZ_CP022430	NZ_CP022430.1	NZ_CP022430.1	Pantoea ananatis strain YJ76 plasmid p_unamed4 sequence
NG_055267	NG_055267.1	NG_055267.1	Enterobacter asburiae TA6166 pTMTA61661 blaFRI gene for carbapenem-hydrolyzing class A beta-lactamase FRI-4, complete CDS
NG_055489	NG_055489.1	NG_055489.1	Klebsiella pneumoniae 0593 pKp593 blaVIM gene for subclass B1 metallo-beta-lactamase VIM-52, complete CDS
NG_055490	NG_055490.1	NG_055490.1	Klebsiella pneumoniae 1210 pKp1210 blaOXA gene for OXA-48 family class D beta-lactamase OXA-519, complete CDS
NG_055491	NG_055491.1	NG_055491.1	Enterobacter asburiae 107E1 p107E1 blaIMI gene for carbapenem-hydrolyzing class A beta-lactamase IMI-13, complete CDS
NG_055504	NG_055504.1	NG_055504.1	Enterobacter cloacae N17-00710 pN17710-1 blaIMI gene for carbapenem-hydrolyzing class A beta-lactamase IMI-16, complete CDS
NG_055505	NG_055505.1	NG_055505.1	Escherichia coli WJ1 pWJ1 mcr-3 gene for phosphoethanolamine--lipid A transferase MCR-3.1, complete CDS
NG_047266	NG_047266.1	NG_047266.1	Pseudomonas aeruginosa pV2GY3 aac(6') gene for aminoglycoside N-acetyltransferase AAC(6')-32, complete CDS
NG_047279	NG_047279.1	NG_047279.1	Pseudomonas aeruginosa hh320 pLQ1001 aac(6') gene for aminoglycoside 6'-N-acetyltransferase AAC(6')-Iai, complete CDS
NG_047337	NG_047337.1	NG_047337.1	Pasteurella multocida pCCK647 ant(3'')-Ia gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA14, complete CDS
NG_047631	NG_047631.1	NG_047631.1	Staphylococcus sciuri pSCFS1 cfr gene for 23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr, complete CDS
NG_047632	NG_047632.1	NG_047632.1	Staphylococcus aureus pSCFS3 cfr gene for 23S rRNA (adenine(2503)-C(8))-methyltransferase Cfr, complete CDS
NG_047655	NG_047655.1	NG_047655.1	Pseudomonas aeruginosa RPL11 cmlA gene for chloramphenicol efflux MFS transporter CmlA6, complete CDS
NG_047723	NG_047723.1	NG_047723.1	Vibrio cholerae non-O1/non-O139 pRJ354C dfrA gene for trimethoprim-resistant dihydrofolate reductase DfrA27, complete CDS
NG_047747	NG_047747.1	NG_047747.1	Klebsiella aerogenes R751 dfrB gene for trimethoprim-resistant dihydrofolate reductase DfrB3, complete CDS
NG_047897	NG_047897.1	NG_047897.1	Mycobacterium abscessus subsp. bolletii F1725 BRA100 fosX gene for fosfomycin resistance thiol transferase FosI, complete CDS
NG_048578	NG_048578.1	NG_048578.1	Salmonella enterica subsp. enterica serovar Typhimurium pSTI1 aac(6')-Ib11 gene for aminoglycoside N-acetyltransferase AAC(6')-Ib11, complete CDS
NG_051879	NG_051879.1	NG_051879.1	Pseudomonas aeruginosa pae943 unnamed cmlA gene for chloramphenicol efflux MFS transporter CmlA8, complete CDS
NG_051883	NG_051883.1	NG_051883.1	Salmonella enterica subsp. enterica serovar Derby SE246/04 pSE246/04-a lnu(F) gene for lincosamide nucleotidyltransferase Lnu(F), complete CDS
NG_052065	NG_052065.1	NG_052065.1	Staphylococcus aureus pI258 blaZ gene for BlaZ family penicillin-hydrolyzing class A beta-lactamase PC1, complete CDS
NG_052167	NG_052167.1	NG_052167.1	Enterobacter cloacae p068-50543A dfrB gene for trimethoprim-resistant dihydrofolate reductase DfrB9, complete CDS
NG_052259	NG_052259.1	NG_052259.1	Chamaesiphon minutus PCC 6605 pCHA6605.01 aac(6') gene for aminoglycoside 6'-N-acetyltransferase AacA47, complete CDS
NG_054660	NG_054660.1	NG_054660.1	Acinetobacter lwoffii ED23-35 pALWED1.8 aadA27 gene for ANT(3'')-II family aminoglycoside nucleotidyltransferase AadA27, complete CDS
NZ_CP022493	NZ_CP022493.1	NZ_CP022493.1	Salmonella enterica subsp. enterica serovar Saintpaul strain SA20031783 plasmid unnamed2, complete sequence
NZ_CP022496	NZ_CP022496.1	NZ_CP022496.1	Salmonella enterica subsp. enterica serovar Derby strain SA20035215 plasmid unnamed2, complete sequence
NG_051171	NG_051171.1	NG_051171.1	Escherichia coli KP37 pKP37-BE mcr-2 gene for phosphoethanolamine--lipid A transferase MCR-2.1, complete CDS
NG_047353	NG_047353.1	NG_047353.1	Plasmid NR79 aadA3 gene for ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA3, complete CDS
NG_048309	NG_048309.1	NG_048309.1	IncQ plasmid pIE1120 tet(Y) gene for tetracycline efflux MFS transporter Tet(Y), complete CDS
NG_049352	NG_049352.1	NG_049352.1	Plasmid PDS075 blaOHIO gene for class A extended-spectrum beta-lactamase OHIO-1, complete CDS
NG_047784	NG_047784.1	NG_047784.2	Photobacterium damselae subsp. piscicida pPDP9106b erm(42) gene for 23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(42), complete CDS
NG_048128	NG_048128.1	NG_048128.2	Corynebacterium sp. L2-79-05 pLEW279a tet(33) gene for tetracycline efflux MFS transporter Tet(33), complete CDS
NG_050281	NG_050281.1	NG_050281.1	Klebsiella pneumoniae CLSiS 3151/98 pbla-TEM-68 blaTEM gene for inhibitor-resistant class A extended-spectrum beta-lactamase TEM-68, complete CDS
NG_050471	NG_050471.1	NG_050471.1	Citrobacter freundii pHM6-171 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB11, complete CDS
NG_050483	NG_050483.1	NG_050483.1	Citrobacter werkmanii PS012 pPS012 qnrB gene for quinolone resistance pentapeptide repeat protein QnrB22, complete CDS
NG_052583	NG_052583.1	NG_052583.3	Escherichia coli APEC O1 pAPEC-O1-R aac(3)-VIa gene for aminoglycoside N-acetyltransferase AAC(3)-VIa, complete CDS
NZ_CP020935	NZ_CP020935.1	NZ_CP020935.1	Escherichia coli strain HB-Coli0 plasmid unnamed2
NZ_CP021055	NZ_CP021055.1	NZ_CP021055.1	Methylobacterium zatmanii strain PSBB041 plasmid unnamed sequence
NG_047322	NG_047322.1	NG_047322.1	Campylobacter jejuni CG8245 pCG8245 aad9 gene for ANT(9) family aminoglycoside nucleotidyltransferase, complete CDS
NG_047555	NG_047555.1	NG_047555.1	Escherichia coli DIJ1 pO86A1 ble gene for bleomycin binding protein BLMT, complete CDS
NG_047892	NG_047892.1	NG_047892.1	Staphylococcus rostri pJP2 fosD gene for fosfomycin resistance bacillithiol transferase FosD, complete CDS
NG_048052	NG_048052.1	NG_048052.1	Klebsiella aerogenes YS10 pYS10 qepA gene for fluoroquinolone efflux MFS transporter QepA5, complete CDS
NG_049139	NG_049139.1	NG_049139.1	Enterobacter cloacae pHT9 blaGES gene for class A extended-spectrum beta-lactamase GES-7, complete CDS
NG_049428	NG_049428.1	NG_049428.1	Salmonella enterica subsp. enterica serovar Bredeney 96 pSBre96 blaOXA gene for OXA-5 family class D beta-lactamase OXA-129, complete CDS
NG_049469	NG_049469.1	NG_049469.1	Klebsiella pneumoniae chaK36 pGES-5 blaOXA gene for OXA-10 family oxacillin-hydrolyzing class D extended-spectrum beta-lactamase OXA-17, complete CDS
NG_049551	NG_049551.1	NG_049551.1	Enterobacter cloacae pUL3AT blaOXA gene for OXA-10 family class D beta-lactamase OXA-256, complete CDS
NG_049577	NG_049577.1	NG_049577.1	Pseudomonas aeruginosa pDG-1 blaOXA gene for OXA-10 family class D extended-spectrum beta-lactamase OXA-28, complete CDS
NG_049605	NG_049605.1	NG_049605.1	Pseudomonas aeruginosa unnamed blaOXA gene for OXA-1 family class D extended-spectrum beta-lactamase OXA-31, complete CDS
NG_050410	NG_050410.1	NG_050410.1	Staphylococcus epidermidis BM2641 pIP1842 fosB gene for fosfomycin resistance bacillithiol transferase FosB, complete CDS
NG_050417	NG_050417.1	NG_050417.1	Escherichia coli SHP45 pHNSHP45 mcr-1 gene for phosphoethanolamine--lipid A transferase MCR-1.1, complete CDS
NG_052366	NG_052366.1	NG_052366.1	Escherichia coli pAK33 smr gene for multidrug efflux SMR transporter Smr, complete CDS
NG_049138	NG_049138.1	NG_049138.1	Klebsiella pneumoniae pKP78 blaGES gene for inhibitor-resistant carbapenem-hydrolyzing class A beta-lactamase GES-6, complete CDS
NG_047372	NG_047372.1	NG_047372.1	Plasmid pTB913 aadD1 gene for aminoglycoside O-nucleotidyltransferase ANT(4')-Ia, complete CDS
NG_050402	NG_050402.1	NG_050402.1	Salmonella enterica subsp. enterica serovar Typhimurium incFI dfrA19 gene for trimethoprim-resistant dihydrofolate reductase DfrA19, complete CDS
NG_050403	NG_050403.1	NG_050403.1	Enterobacter cloacae pEC-IMP dfrA19 gene for trimethoprim-resistant dihydrofolate reductase DfrA19, complete CDS
NG_048403	NG_048403.1	NG_048403.1	Enterococcus faecalis BM4382 pIP834 vanR gene for VanB-type vancomycin resistance response regulator transcription factor VanR, complete CDS
NG_049247	NG_049247.1	NG_049247.1	Klebsiella pneumoniae BK13048 pBK13048 blaKPC gene for inhibitor-resistant class A extended-spectrum beta-lactamase KPC-14, complete CDS
NZ_CP011626	NZ_CP011626.1	NZ_CP011626.1	Klebsiella oxytoca strain CAV1374 plasmid pCAV1374-6538, complete sequence
NZ_CP013143	NZ_CP013143.1	NZ_CP013143.1	Alcaligenes faecalis strain ZD02 plasmid pZD02, complete sequence
NZ_CP011638	NZ_CP011638.1	NZ_CP011638.1	Serratia marcescens strain CAV1492 plasmid pCAV1492-6393, complete sequence
NG_049373	NG_049373.1	NG_049373.1	Klebsiella pneumoniae kp622 blaOKP-B gene for class A broad-spectrum beta-lactamase OKP-B-13, complete CDS
NZ_CP011573	NZ_CP011573.1	NZ_CP011573.1	Klebsiella aerogenes strain CAV1320 plasmid pKPC_CAV1320, complete sequence
NG_049104	NG_049104.1	NG_049104.1	Escherichia coli GCE pGC-2 blaFOX gene for inhbitor-resistant cephalosporin-hydrolyzing class C beta-lactamase FOX-4, complete CDS
NZ_CP011333	NZ_CP011333.1	NZ_CP011333.1	Escherichia coli O104:H4 str. C227-11 isolate 368 shch plasmid unnamed, complete sequence
NZ_CP011335	NZ_CP011335.1	NZ_CP011335.1	Escherichia coli O104:H4 str. C227-11 isolate 368 shch plasmid unnamed, complete sequence
NZ_CP011336	NZ_CP011336.1	NZ_CP011336.1	Escherichia coli O104:H4 str. C227-11 isolate 368 shch plasmid unnamed, complete sequence
NZ_CP011337	NZ_CP011337.1	NZ_CP011337.1	Escherichia coli O104:H4 str. C227-11 isolate 368 shch plasmid unnamed, complete sequence
NZ_CP018981	NZ_CP018981.1	NZ_CP018981.1	Escherichia coli strain Ecol_867 plasmid pEC867_KPC, complete sequence
NZ_CP019138	NZ_CP019138.1	NZ_CP019138.1	Brevirhabdus pacifica strain DY6-4 plasmid unnamed
NG_047232	NG_047232.1	NG_047232.1	Serratia marcescens pUO901 aac(3)-Ia gene for aminoglycoside N-acetyltransferase AAC(3)-Ia, complete CDS
NG_047233	NG_047233.1	NG_047233.1	Salmonella enterica subsp. enterica serovar Typhimurium pSEM aac(3)-Ia gene for aminoglycoside N-acetyltransferase AAC(3)-Ia, complete CDS
NG_047248	NG_047248.1	NG_047248.1	uncultured bacterium HHV35 pHHV35 aac(3)-IIe gene for aminoglycoside N-acetyltransferase AAC(3)-IIe, complete CDS
NG_047250	NG_047250.1	NG_047250.1	Escherichia coli clinical isolate 164 R aac(3)-IIc gene for aminoglycoside N-acetyltransferase AAC(3)-IIc, complete CDS
NG_047251	NG_047251.1	NG_047251.1	Citrobacter freundii pCTX-M3 aac(3)-IId gene for aminoglycoside N-acetyltransferase AAC(3)-IId, complete CDS
NG_047246	NG_047246.1	NG_047246.1	Plasmid R aac(3)-IId gene for aminoglycoside N-acetyltransferase AAC(3)-IId, complete CDS
